instance_id,n,algorithm,clustering_method,num_clusters,iterations,seed,reference_type,reference_length,solution_length,relative_to_reference,compute_seconds,valid_tour
0,10,global_sa,,,2000,101,exact_euclidean,2.792894618783478,2.792894618783478,1.0,0.007001855999988038,True
0,10,clustered_sa,hierarchical,3,2000,101,exact_euclidean,2.792894618783478,2.847549508938074,1.0195692632965874,0.02643222999995487,True
0,10,global_sa,,,8000,101,exact_euclidean,2.792894618783478,2.792894618783478,1.0,0.025053491000107897,True
0,10,clustered_sa,hierarchical,3,8000,101,exact_euclidean,2.792894618783478,2.847549508938074,1.0195692632965874,0.01981852799963235,True
0,10,global_sa,,,32000,101,exact_euclidean,2.792894618783478,2.7928946187834782,1.0000000000000002,0.11368729500009067,True
0,10,clustered_sa,hierarchical,3,32000,101,exact_euclidean,2.792894618783478,2.847549508938074,1.0195692632965874,0.061473889999433595,True
1,10,global_sa,,,2000,202,exact_euclidean,2.2510928595335447,2.251092859533545,1.0000000000000002,0.005771615999947244,True
1,10,clustered_sa,hierarchical,3,2000,202,exact_euclidean,2.2510928595335447,2.3662602365401124,1.0511606513782075,0.005182144999707816,True
1,10,global_sa,,,8000,202,exact_euclidean,2.2510928595335447,2.2510928595335447,1.0,0.023218760000418115,True
1,10,clustered_sa,hierarchical,3,8000,202,exact_euclidean,2.2510928595335447,2.3662602365401124,1.0511606513782075,0.016088143000160926,True
1,10,global_sa,,,32000,202,exact_euclidean,2.2510928595335447,2.251092859533545,1.0000000000000002,0.09374183799991442,True
1,10,clustered_sa,hierarchical,3,32000,202,exact_euclidean,2.2510928595335447,2.3662602365401124,1.0511606513782075,0.05945780199999717,True
2,10,global_sa,,,2000,303,exact_euclidean,2.459434521575943,2.4594345215759432,1.0000000000000002,0.00692760600031761,True
2,10,clustered_sa,hierarchical,3,2000,303,exact_euclidean,2.459434521575943,2.60468285065886,1.059057611743144,0.012238037999850349,True
2,10,global_sa,,,8000,303,exact_euclidean,2.459434521575943,2.459434521575943,1.0,0.029621594000673213,True
2,10,clustered_sa,hierarchical,3,8000,303,exact_euclidean,2.459434521575943,2.6995814551442576,1.0976431498629347,0.032227206000243314,True
2,10,global_sa,,,32000,303,exact_euclidean,2.459434521575943,2.4594345215759432,1.0000000000000002,0.09520891400006803,True
2,10,clustered_sa,hierarchical,3,32000,303,exact_euclidean,2.459434521575943,2.6995814551442576,1.0976431498629347,0.12586944000031508,True
0,100,global_sa,,,2000,101,,,16.534628273494352,,0.006615442000111216,True
0,100,clustered_sa,hierarchical,10,2000,101,,,9.701910005396734,,0.009797173999686493,True
0,100,global_sa,,,8000,101,,,11.752535594028508,,0.020939115000146558,True
0,100,clustered_sa,hierarchical,10,8000,101,,,9.193954125898216,,0.02593237200017029,True
0,100,global_sa,,,32000,101,,,9.866242680249213,,0.0832112939997387,True
0,100,clustered_sa,hierarchical,10,32000,101,,,9.175013957245637,,0.10210112999993726,True
1,100,global_sa,,,2000,202,,,18.27159338451763,,0.00581358499948692,True
1,100,clustered_sa,hierarchical,10,2000,202,,,9.563783480805501,,0.014578289999917615,True
1,100,global_sa,,,8000,202,,,10.873455853595074,,0.024084517000119376,True
1,100,clustered_sa,hierarchical,10,8000,202,,,8.77703153655614,,0.029592029999548686,True
1,100,global_sa,,,32000,202,,,8.98328056584781,,0.09316765299990948,True
1,100,clustered_sa,hierarchical,10,32000,202,,,8.634463742535809,,0.09754814000007173,True
2,100,global_sa,,,2000,303,,,16.673544967015893,,0.005564991000028385,True
2,100,clustered_sa,hierarchical,10,2000,303,,,9.284055100523114,,0.00969100900056219,True
2,100,global_sa,,,8000,303,,,11.046062424160503,,0.020979052999791747,True
2,100,clustered_sa,hierarchical,10,8000,303,,,8.782732880893095,,0.026712107000093965,True
2,100,global_sa,,,32000,303,,,8.884640329623425,,0.08454057800008741,True
2,100,clustered_sa,hierarchical,10,32000,303,,,8.74260911436573,,0.10354270999960136,True
0,300,global_sa,,,2000,101,,,74.96702438532948,,0.00912846399933187,True
0,300,clustered_sa,hierarchical,17,2000,101,,,21.213872442766245,,0.01771659299993189,True
0,300,global_sa,,,8000,101,,,45.14019300502772,,0.029991573999723187,True
0,300,clustered_sa,hierarchical,17,8000,101,,,17.785122311824836,,0.03513870700044208,True
0,300,global_sa,,,32000,101,,,28.027601221925117,,0.12077485800000431,True
0,300,clustered_sa,hierarchical,17,32000,101,,,16.192573644492793,,0.09993104099976335,True
1,300,global_sa,,,2000,202,,,75.27414993552293,,0.008733655000469298,True
1,300,clustered_sa,hierarchical,17,2000,202,,,20.25509073282069,,0.016885963000277115,True
1,300,global_sa,,,8000,202,,,40.924200306894775,,0.02948067999932391,True
1,300,clustered_sa,hierarchical,17,8000,202,,,17.098357201143763,,0.03317870200044126,True
1,300,global_sa,,,32000,202,,,26.85269019271786,,0.12209868500031007,True
1,300,clustered_sa,hierarchical,17,32000,202,,,15.138799142999112,,0.10777010900073947,True
2,300,global_sa,,,2000,303,,,77.84295363232832,,0.009598198999810847,True
2,300,clustered_sa,hierarchical,17,2000,303,,,21.00099301185571,,0.019116934000521724,True
2,300,global_sa,,,8000,303,,,45.36433407270735,,0.02901968600053806,True
2,300,clustered_sa,hierarchical,17,8000,303,,,16.99498742687067,,0.0327046149996022,True
2,300,global_sa,,,32000,303,,,25.965162254416903,,0.10932169499938027,True
2,300,clustered_sa,hierarchical,17,32000,303,,,15.587741380879073,,0.11148158600008173,True
0,1000,global_sa,,,2000,101,,,363.5140456372227,,0.01724799899966456,True
0,1000,clustered_sa,hierarchical,32,2000,101,,,68.11262934379062,,0.07387407999976858,True
0,1000,global_sa,,,8000,101,,,228.36367261573739,,0.06478729100035707,True
0,1000,clustered_sa,hierarchical,32,8000,101,,,46.41365966637706,,0.07975555800021539,True
0,1000,global_sa,,,32000,101,,,132.50083688268927,,0.2217351180006517,True
0,1000,clustered_sa,hierarchical,32,32000,101,,,33.68246496116017,,0.16951513799995155,True
1,1000,global_sa,,,2000,202,,,356.1736544548607,,0.01740075199995772,True
1,1000,clustered_sa,hierarchical,32,2000,202,,,68.24316938535125,,0.06022047999977076,True
1,1000,global_sa,,,8000,202,,,232.53452269918753,,0.0627287779998369,True
1,1000,clustered_sa,hierarchical,32,8000,202,,,45.42185824372553,,0.08817403800003376,True
1,1000,global_sa,,,32000,202,,,128.14021833918122,,0.21349624800041056,True
1,1000,clustered_sa,hierarchical,32,32000,202,,,33.76942366089512,,0.15794746899973688,True
2,1000,global_sa,,,2000,303,,,350.5745766434271,,0.01670663099957892,True
2,1000,clustered_sa,hierarchical,32,2000,303,,,66.02681616512076,,0.06018268200023158,True
2,1000,global_sa,,,8000,303,,,225.90928792588707,,0.06909977100076503,True
2,1000,clustered_sa,hierarchical,32,8000,303,,,47.24510548622219,,0.08130124499984959,True
2,1000,global_sa,,,32000,303,,,135.73475349270853,,0.21209799400003249,True
2,1000,clustered_sa,hierarchical,32,32000,303,,,33.65097613868907,,0.17253974300001573,True
